Modelo,Umbral,Recall,Precisión,F1-score,VPN,AUC-ROC,AUC-PR
Gradient Boosting,0.00018468315576251906,0.8709677419354839,0.43548387096774194,0.5806451612903226,0.8709677419354839,0.6540062434963579,0.4495976235659117
XGBoost,0.13320061564445496,0.7741935483870968,0.42857142857142855,0.5517241379310344,0.8108108108108109,0.6045785639958376,0.455467301662108
Regresión Logística,0.4125130853183199,0.8709677419354839,0.40298507462686567,0.5510204081632654,0.8461538461538461,0.6279916753381893,0.44802179047878216
AdaBoost,0.47755321066458767,0.8709677419354839,0.40298507462686567,0.5510204081632654,0.8461538461538461,0.6123829344432883,0.4389208428348574
Extra Trees,0.30083333333333334,0.8064516129032258,0.4166666666666667,0.5494505494505494,0.8181818181818182,0.5793444328824142,0.3764014461049486
SVM,0.21610323706225418,0.8064516129032258,0.4032258064516129,0.5376344086021505,0.8064516129032258,0.5874089490114465,0.409366170285706
Random Forest,0.34,0.7096774193548387,0.41509433962264153,0.5238095238095237,0.775,0.6201873048907388,0.41011533304724135
KNN,0.3591296557837139,0.8387096774193549,0.37681159420289856,0.52,0.7916666666666666,0.5161290322580645,0.36056023398679543
