Modelo,AUC-ROC,AUC-PR,F1-score,Recall,Precisión,VPN
Regresión Logística,0.6555671175858481,0.5097601214192936,0.47761194029850745,0.5161290322580645,0.4444444444444444,0.7368421052631579
Gradient Boosting,0.6540062434963579,0.4495976235659117,0.33962264150943394,0.2903225806451613,0.4090909090909091,0.6901408450704225
XGBoost,0.6404786680541104,0.5109751814495064,0.43333333333333335,0.41935483870967744,0.4482758620689655,0.71875
Random Forest,0.6201873048907388,0.41011533304724135,0.37735849056603776,0.3225806451612903,0.45454545454545453,0.704225352112676
AdaBoost,0.6123829344432883,0.4389208428348574,0.45901639344262296,0.45161290322580644,0.4666666666666667,0.7301587301587301
Extra Trees,0.6063995837669095,0.41401742910717776,0.32558139534883723,0.22580645161290322,0.5833333333333334,0.7037037037037037
SVM,0.5874089490114465,0.409366170285706,0.3,0.2903225806451613,0.3103448275862069,0.65625
KNN,0.5161290322580645,0.36056023398679543,0.4235294117647059,0.5806451612903226,0.3333333333333333,0.6666666666666666
